"anvendelseskode","beskrivelse","kategori"
110,"Stuehus til landbrugsejendom.","Bygninger til helårsbeboelse."
120,"Fritliggende eenfamilieshus (parcelhus).","Bygninger til helårsbeboelse."
130,"Række-, kæde-, eller, dobbelthus (lodret adskillelse mellem enhederne).","Bygninger til helårsbeboelse."
140,"Etageboligbebyggelse (flerfamiliehus, herunder to-familiehus (vandret adskillelse mellem enhederne).","Bygninger til helårsbeboelse."
150,"Kollegium.","Bygninger til helårsbeboelse."
160,"Døgninstitution (plejehjem, alderdomshjem, børne- eller ungdomshjem).","Bygninger til helårsbeboelse."
190,"Anden bygning til helårsbeboelse.","Bygninger til helårsbeboelse."
210,"Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o. lign.","Produktions- og lagerbygninger i forbindelse med landbrug, industri, håndværk, offentlige værker o. lign."
220,"Bygning til erhvervsmæssig produktion vedrørende industri, håndværk m.v. (fabrik, værksted o. lign.).","Produktions- og lagerbygninger i forbindelse med landbrug, industri, håndværk, offentlige værker o. lign."
230,"El-, gas-, vand- eller varmeværk, forbrændingsanstalt m.v..","Produktions- og lagerbygninger i forbindelse med landbrug, industri, håndværk, offentlige værker o. lign."
290,"Anden bygning til landbrug, industri etc.","Produktions- og lagerbygninger i forbindelse med landbrug, industri, håndværk, offentlige værker o. lign."
310,"Transport- og garageanlæg (fragtmandshal, lufthavnsbygning, banegårdsbygning, parkeringshus). Garage med plads til et eller to køretøjer registreres med anvendelseskode 910.","Bygninger til handel, transport, kontor, liberale erhverv, servicevirksomhed o. lign."
320,"Bygning til kontor, handel, lager, herunder offentlig administration.","Bygninger til handel, transport, kontor, liberale erhverv, servicevirksomhed o. lign."
330,"Bygning til hotel, restaurant, vaskeri, frisør og anden servicevirksomhed.","Bygninger til handel, transport, kontor, liberale erhverv, servicevirksomhed o. lign."
390,"Anden bygning til transport, handel etc.","Bygninger til handel, transport, kontor, liberale erhverv, servicevirksomhed o. lign."
410,"Bygning til biograf, teater, erhvervsmæssig udstilling, bibliotek, museum, kirke o. lign.","Bygninger til kulturelle formål samt institutioner."
420,"Bygning til undervisning og forskning (skole, gymnasium, forskningslaboratorium o. lign.).","Bygninger til kulturelle formål samt institutioner."
430,"Bygning til hospital, sygehjem, fødeklinik o. lign.","Bygninger til kulturelle formål samt institutioner."
440,"Bygning til daginstitution.","Bygninger til kulturelle formål samt institutioner."
490,"Bygning til anden institution, herunder kaserne, fængsel o. lign.","Bygninger til kulturelle formål samt institutioner."
510,"Sommerhus.","Bygninger til fritidsformål."
520,"Bygning til ferieformål m.v., bortset fra sommerhus (feriekoloni, vandrehjem o. lign.)","Bygninger til fritidsformål."
530,"Bygning i forbindelse med idrætsudøvelse (klubhus, idrætshal, svømmehal o. lign.).","Bygninger til fritidsformål."
540,"Kolonihavehus.","Bygninger til fritidsformål."
590,"Anden bygning til fritidsformål.","Bygninger til fritidsformål."
910,"Garage med plads til et eller to køretøjer.","Mindre bygninger til garageformål, opbevaring m.v."
920,"Carport.","Mindre bygninger til garageformål, opbevaring m.v."
930,"Udhus.","Mindre bygninger til garageformål, opbevaring m.v."