kommunekode,kommunenavn
101,"Københavns Municipality"
147,"Frederiksberg Municipality"
151,"Ballerup Municipality"
153,"Brøndby Municipality"
155,"Dragør Municipality"
157,"Gentofte Municipality"
159,"Gladsaxe Municipality"
161,"Glostrup Municipality"
163,"Herlev Municipality"
165,"Albertslund Municipality"
167,"Hvidovre Municipality"
169,"Høje Taastrup Municipality"
173,"Lyngby-Taarbæk Municipality"
175,"Rødovre Municipality"
183,"Ishøj Municipality"
185,"Tårnby Municipality"
187,"Vallensbæk Municipality"
190,"Furesø Municipality"
201,"Allerød Municipality"
210,"Fredensborg Municipality"
217,"Helsingør Municipality"
219,"Hillerød Municipality"
223,"Hørsholm Municipality"
230,"Rudersdal Municipality"
240,"Egedal Municipality"
250,"Frederikssund Municipality"
253,"Greve Municipality"
259,"Køge Municipality"
260,"Halsnæs Municipality"
265,"Roskilde Municipality"
269,"Solrød Municipality"
270,"Gribskov Municipality"
306,"Odsherred Municipality"
316,"Holbæk Municipality"
320,"Faxe Municipality"
326,"Kalundborg Municipality"
329,"Ringsted Municipality"
330,"Slagelse Municipality"
336,"Stevns Municipality"
340,"Sorø Municipality"
350,"Lejre Municipality"
360,"Lolland Municipality"
370,"Næstved Municipality"
376,"Guldborgsund Municipality"
390,"Vordingborg Municipality"
400,"Bornholms Regionskommune"
410,"Middelfart Municipality"
420,"Assens Municipality"
430,"Faaborg-Midtfyn Municipality"
440,"Kerteminde Municipality"
450,"Nyborg Municipality"
461,"Odense Municipality"
479,"Svendborg Municipality"
480,"Nordfyns Municipality"
482,"Langeland Municipality"
492,"Ærø Municipality"
510,"Haderslev Municipality"
530,"Billund Municipality"
540,"Sønderborg Municipality"
550,"Tønder Municipality"
561,"Esbjerg Municipality"
563,"Fanø Municipality"
573,"Varde Municipality"
575,"Vejen Municipality"
580,"Aabenraa Municipality"
607,"Fredericia Municipality"
615,"Horsens Municipality"
621,"Kolding Municipality"
630,"Vejle Municipality"
657,"Herning Municipality"
661,"Holstebro Municipality"
665,"Lemvig Municipality"
671,"Struer Municipality"
706,"Syddjurs Municipality"
707,"Norddjurs Municipality"
710,"Favrskov Municipality"
727,"Odder Municipality"
730,"Randers Municipality"
740,"Silkeborg Municipality"
741,"Samsø Municipality"
746,"Skanderborg Municipality"
751,"Aarhus Municipality"
756,"Ikast-Brande Municipality"
760,"Ringkøbing-Skjern Municipality"
766,"Hedensted Municipality"
773,"Morsø Municipality"
779,"Skive Municipality"
787,"Thisted Municipality"
791,"Viborg Municipality"
810,"Brønderslev Municipality"
813,"Frederikshavn Municipality"
820,"Vesthimmerlands Municipality"
825,"Læsø Municipality"
840,"Rebild Municipality"
846,"Mariagerfjord Municipality"
849,"Jammerbugt Municipality"
851,"Aalborg Municipality"
860,"Hjørring Municipality"